Ancien nom;Libellé;Code;Type;Description /role;OS;VLAN;Adresse IP;Adresse IP2;Adresse IP3;Adresse IP4;Adresse IP5;Adresse IP6;Adresse IP7;Adresse IP8;Adresse IP9;Adresse IP10;Adresse IP11;Virtualisation;Cluster;Site d'hébergement;Statut;Version Oracle;Supervisé;Type Serveur;Service BDD ;1_Code Appli;2_Libellé Appli
srv-prd-websig;SRV-PRD-WEBSIG;SRVP0017;Serveur Virtuel;Frontal WEB SIG ;Microsoft Windows Server 2012 R2 (64b);DMZ;192.168.222.191;;;;;;;;;;;VMWARE;DMZ;Virtuel;;NA;Oui;PRD;;APPL248;Site web GEO.SARTHE.FR?
srv-rec-ordiges;SRV-REC-ORDIGES;SRVR0110;Serveur Virtuel;;Linux Centos 7 (64b);VLAN72 SI;172.16.22.13;;;;;;;;;;;VMWARE;LAN;Virtuel;;NA;Oui;TST;;;
srv-rec-puppet;SRV-REC-PUPPET;SRVR0111;Serveur Virtuel;;Linux Centos 7 (64b);VLAN72 SI;172.16.22.12;;;;;;;;;;;VMWARE;LAN;Virtuel;;NA;Oui;TST;;;
srv-tmp-geocort;SRV-TMP-GEOCORT;SRVP0020;Serveur Virtuel;Serveur SIG Geocortex;Microsoft Windows Server 2012 R2 (64b);DMZ;192.168.222.190;;;;;;;;;;;VMWARE;DMZ;Virtuel;;NA;Oui;PRD;;APPL074;GeoCortex
srv-rec-sonde;SRV-REC-SONDE;SRVR0114;Serveur Virtuel;;Linux Centos 7 (64b);VLAN72 SI;172.16.22.14;;;;;;;;;;;VMWARE;LAN;Virtuel;;NA;Oui;TST;;;
srv-tst-gfbat20;SRV-TST-GFBAT20;SRVR0128;Serveur Virtuel;;Linux Centos 7 (64b);VLAN72 SI;172.16.22.41;;;;;;;;;;;VMWARE;LAN;Virtuel;;NA;Oui;TST;;;
7;7;SRVP0100;Serveur Virtuel;;Microsoft Windows 7 (64b);;;;;;;;;;;;;VMWARE;LAN;Virtuel;;NA;N/A;TST;;;
srv-tst-https01;SRV-TST-HTTPS01;SRVR0134;Serveur Virtuel;;Linux Centos 7 (64b);VLAN72 SI;172.16.22.20;;;;;;;;;;;VMWARE;LAN;Virtuel;;NA;Oui;TST;;;
srv-tst-sql01;SRV-TST-SQL01;SRVR0149;Serveur Virtuel;;Linux Centos 7 (64b);VLAN72 SI;172.16.22.18;;;;;;;;;;;VMWARE;LAN;Virtuel;;NA;Oui;TST;;;
srv-tst-sql04;SRV-TST-SQL04;SRVR0151;Serveur Virtuel;;Linux Centos 7 (64b);VLAN72 SI;172.16.22.23;;;;;;;;;;;VMWARE;LAN;Virtuel;;NA;Oui;TST;;;
SRV-DEV-WD1;SRV-DEV-WD1;SRVD0102;Serveur Virtuel;;Linux Centos 8 (64b);VLAN72 SI;172.16.22.30;;;;;;;;;;;VMWARE;LAN;Virtuel;;NA;Oui;DEV;;;
SRV-PRD-WD1;SRV-PRD-WD1;SRVP0217;Serveur Virtuel;Web - Drupal 8 sites dialogues social;Linux Centos 8 (64b);VLAN72 SI;172.16.21.43;;;;;;;;;;;VMWARE;LAN;Virtuel;;NA;Oui;PRD;;APPL238;à rattacher à Drupal 8
